Type,Effective_Advantage_1,Effective_Advantage_2,Effective_Advantage_3,Effective_Advantage_4,Effective_Advantage_5
normal,Rock,Steel,,,
fire,Grass,Ice,Bug,Steel,
water,Fire,Ground,Rock,,
electric,Water,Flying,,,
grass,Water,Ground,Rock,,
ice,Grass,Ground,Flying,Dragon,
fighting,Normal,Ice,Rock,Dark,Steel
poison,Grass,Fairy,,,
ground,Fire,Electric,Poison,Rock,Steel
flying,Grass,Fighting,Bug,,
psychic,Fighting,Poison,,,
bug,Grass,Psychic,Dark,,
rock,Fire,Ice,Flying,Bug,
ghost,Psychic,Ghost,,,
dragon,Dragon,,,,
dark,Psychic,Ghost,,,
steel,Ice,Rock,Fairy,,
fairy,Fighting,Dragon,Dark,,
