Type,Not_Effective_Advantage_1,Not_Effective_Advantage_2,Not_Effective_Advantage_3,Not_Effective_Advantage_4,Not_Effective_Advantage_5,Not_Effective_Advantage_6,Not_Effective_Advantage_7
normal,Ghost,,,,,,
fire,Fire,Water,Rock,Dragon,,,
water,Water,Grass,Dragon,,,,
electric,Electric,Grass,Dragon,,,,
grass,Fire,Grass,Poison,Flying,Bug,Dragon,Steel
ice,Fire,Water,Ice,Steel,,,
fighting,Poison,Flying,Psychic,Bug,Fairy,,
poison,Poison,Ground,Rock,Ghost,,,
ground,Grass,Bug,,,,,
flying,Electric,Rock,Steel,,,,
psychic,Psychic,Steel,,,,,
bug,Fire,Fighting,Poison,Flying,Ghost,Steel,Fairy
rock,Fighting,Ground,Steel,,,,
ghost,Dark,,,,,,
dragon,Steel,,,,,,
dark,Fighting,Dark,Fairy,,,,
steel,Fire,Water,Electric,Steel,,,
fairy,Fire,Poison,Steel,,,,
