Type,Effective_Advantage_1,Effective_Advantage_2,Effective_Advantage_3,Effective_Advantage_4,Effective_Advantage_5
Normal,Rock,Steel,,,
Fire,Grass,Ice,Bug,Steel,
Water,Fire,Ground,Rock,,
Electric,Water,Flying,,,
Grass,Water,Ground,Rock,,
Ice,Grass,Ground,Flying,Dragon,
Fighting,Normal,Ice,Rock,Dark,Steel
Poison,Grass,Fairy,,,
Ground,Fire,Electric,Poison,Rock,Steel
Flying,Grass,Fighting,Bug,,
Psychic,Fighting,Poison,,,
Bug,Grass,Psychic,Dark,,
Rock,Fire,Ice,Flying,Bug,
Ghost,Psychic,Ghost,,,
Dragon,Dragon,,,,
Dark,Psychic,Ghost,,,
Steel,Ice,Rock,Fairy,,
Fairy,Fighting,Dragon,Dark,,
