Type,Not_Effective_Advantage_1,Not_Effective_Advantage_2,Not_Effective_Advantage_3,Not_Effective_Advantage_4,Not_Effective_Advantage_5,Not_Effective_Advantage_6,Not_Effective_Advantage_7
Normal,Ghost,,,,,,
Fire,Fire,Water,Rock,Dragon,,,
Water,Water,Grass,Dragon,,,,
Electric,Electric,Grass,Dragon,,,,
Grass,Fire,Grass,Poison,Flying,Bug,Dragon,Steel
Ice,Fire,Water,Ice,Steel,,,
Fighting,Poison,Flying,Psychic,Bug,Fairy,,
Poison,Poison,Ground,Rock,Ghost,,,
Ground,Grass,Bug,,,,,
Flying,Electric,Rock,Steel,,,,
Psychic,Psychic,Steel,,,,,
Bug,Fire,Fighting,Poison,Flying,Ghost,Steel,Fairy
Rock,Fighting,Ground,Steel,,,,
Ghost,Dark,,,,,,
Dragon,Steel,,,,,,
Dark,Fighting,Dark,Fairy,,,,
Steel,Fire,Water,Electric,Steel,,,
Fairy,FiSre,Poison,Steel,,,,
